responses	input token count	output token count
No No No No No No No No No No	29	10
No No No No No No No No No No	28	10
No No No No No No No No No No	29	10
No No No No No No No No No No	30	10
No No No No No No No No No No	28	10
No No No No No No No No No No	33	10
No No No No No No No No No No	27	10
No No No No No No No No No No	27	10
No No No No No No No No No No	29	10
No No No No No No No No No No	29	10
No No No No No No No No No No	29	10
No No No No No No No No No No	30	10
No No No No No No No No No No	28	10
No No No No No No No No No No	28	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	28	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	34	10
No No No No No No No No No No	29	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	29	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	29	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	30	10
No No No No No No No No No No	28	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	29	10
No No No No No No No No No No	29	10
No No No No No No No No No No	28	10
No No No No No No No No No No	29	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	29	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	29	10
No No No No No No No No No No	31	10
No No No No No No No No No No	29	10
No No No No No No No No No No	29	10
No No No No No No No No No No	30	10
No No No No No No No No No No	29	10
No No No No No No No No No No	33	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	28	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	38	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	36	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
No No No No No No As No No No	39	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	34	10
No No No No No No No No No No	37	10
No No No No No No No No No No	35	10
No No No No No No No No No No	30	10
No No No No No No No No No No	37	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	37	10
No No No No No No No No No No	37	10
No No No No No No No No No No	39	10
No No No No No No No No No No	36	10
No No No No No No No No No No	39	10
No No No No No No No No No No	31	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	29	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	40	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	38	10
No No No No No No No No No No	35	10
No No No No No No No No No No	29	10
No No No No No No No No No No	35	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	30	10
No No No No No No No No No No	35	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	36	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	36	10
No No No No No No No No No No	33	10
No No No No No No No No No No	36	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	37	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	36	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	36	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	36	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	36	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	37	10
No No No No No No No No No No	37	10
No No No No No No No No No No	36	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	36	10
No No No No No No No I No No	35	10
No No No No No No No No No No	38	10
No No No No No No No No No No	38	10
No No No No No No No No No No	36	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No I No No No	37	10
No No No No No No No No No No	37	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	29	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	36	10
No No No No No No No No No No	33	10
No No No No No No No No No No	30	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	37	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	36	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	37	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	37	10
No No No No No No No No No No	37	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	37	10
No No No No No No No No No No	37	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
No No No No No No No No No No	37	10
No No No No No No No No No No	37	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	37	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	29	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	36	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	36	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	39	10
No No No No No No No No No No	34	10
No No No No No No No No No No	29	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	36	10
No No No No No No No No No No	34	10
No No No No No No No No No No	30	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	33	10
No No No No No No No No No No	36	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	37	10
No No No No No No No No No No	36	10
No No No No No No No No No No	31	10
No No No No No No No No No No	38	10
No No No No No No No No No No	37	10
No No No No No No No No No No	32	10
No No No No No No No No No No	29	10
No No No No No No No No No No	29	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	33	10
No No No No No No No No No No	29	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	29	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	29	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	29	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	28	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
No No No No No No No No No No	29	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	33	10
No No No No No No No No No No	37	10
No No No No No No No No No No	30	10
No No No No No No No No No No	29	10
No No No No No No No No No No	33	10
No No No No No No No No No No	36	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	28	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	37	10
No No No No No No No No No No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No I No No No I No	35	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	35	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	36	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
No No No No No No No No No No	32	10
No No No No No No No No No No	38	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	29	10
No No No No No No No No No No	33	10
No No No No No No No No No No	37	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	33	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	38	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	36	10
No No No No No No No No No No	30	10
No No No No No No No No No No	30	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	30	10
No No No No No No No No No No	31	10
No No No No No No No No No No	37	10
No No No No No No No No No No	36	10
No No No No No No No No No No	38	10
No No No No No No No No No No	33	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	37	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	38	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	35	10
No No No No No No No No No No	35	10
No No No No No No No No No No	36	10
No No No No No No No No No No	35	10
No No No No No No No No No No	34	10
No No No No No No No No No No	29	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	30	10
No No No No No No No No No No	29	10
No No No No No No No No No No	33	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	36	10
No No No No No No No No No No	36	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	34	10
No No No No No No No No No No	33	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	33	10
No No No No No No No No No No	34	10
No No No No No No No No No No	34	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	32	10
No No No No No No No No No No	36	10
No No No No No No No No No No	33	10
No No No No No No No No No No	31	10
No No No No No No No No No No	32	10
No No No No No No No No No No	31	10
No No No No No No No No No No	31	10
No No No No No No No No No No	35	10
